Title,Category,Year,Director,Rating,Edited,LentTo,Notes
Star Wars Episode V: The Empire Strikes Back,Action/Adventure,1980, Irvin Kershner,PG,,,Plex
Star Wars Episode VI: Return of the Jedi,Action/Adventure,1983,Richard Marquand,PG,,,Plex
Stargate,Action/Adventure,1994,Roland Emmerich,PG-13,,,YouTube Movies
"Steamboat Bill, Jr.",Comedy,1928,Buster Keaton,G,,,Plex
Strange Invaders,Horror/Suspense,1983,Michael Laughlin,PG,,,Plex
Stranger than Fiction,Drama,2006,Marc Forster,PG-13,,,Plex
Superman II,Action/Adventure,1980,Richard Lester,PG,,,Plex
Superman III,Action/Adventure,1983,Richard Lester,PG,,,Plex
Superman IV: The Quest for Peace,Action/Adventure,1987,Sidney J. Furie,PG,,,Plex
Superman: The Movie,Action/Adventure,1978,Richard Donner,PG,,,Plex
Supersize Me,Comedy,2004,Morgan Spurlock,PG-13,,,Plex
Support Your Local Gunfighter,Family,1971,Burt Kennedy,G,,,Plex
Support Your Local Sheriff,Family,1969,Burt Kennedy,G,,,Plex
Sweeney Todd: The Demon Barber of Fleet Street,Horror/Suspense,2007,Tim Burton,R,Yes,,Plex
Sweet Home Alabama,Comedy,2002,Andy Tennant,PG-13,,,Plex
"Sword in the Stone, The",Family,1963,Wolfgang Reitherman,G,,,Plex
Team America: World Police,Comedy,2004,Trey Parker,R,Yes,,Plex
Teenage Mutant Ninja Turtles,Family,1990,Steve Barron,PG,,,Plex
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Family,1991,Michael Pressman,PG,,,Plex
Terminator 2: Judgment Day,Action/Adventure,1991,James Cameron,R,Yes,,Plex
The Fugitive,Action/Adventure,1993,Andrew Davis,PG-13,,,Plex
They Might Be Giants: Here Comes Science,Family,2009,"John Linnell, John Flansburgh",G,,,
They Might Be Giants: Here Comes the 123s,Family,2008,"John Linnell, John Flansburgh",G,,,Plex
They Might Be Giants: Here Comes the ABCs,Family,2005,"John Linnell, John Flansburgh",G,,,Plex
"Thing from Another World, The",Horror/Suspense,1951,"Christian Nyby, Howard Hawks",UR,,,Plex
Three Amigos,Comedy,1986,John Landis,PG,,,Plex
Tillie’s Punctured Romance,Comedy,1914,Mack Sennett,UR,,,Plex
Tommy Boy,Comedy,1995,Peter Segal,PG-13,,,Plex
Tormented,Horror/Suspense,1960,Bert I. Gordon,UR,,,Plex
Toy Story,Family,1995,John Lasseter,G,,,Plex
Toy Story 2,Family,1999,John Lasseter,G,,,Plex
Toy Story 3,Family,2010,Lee Unkrich,G,,,Plex
True Grit,Drama,2010,"Joel Coen, Ethan Coen",PG-13,,,Plex
"Truman Show, The",Drama,1998,Peter Weir,PG,,,Plex
UHF,Comedy,1989,Jay Levey,PG-13,,,Plex
Unbreakable,Horror/Suspense,2000,M. Night Shyamalan,PG-13,,,Plex
Unforgiven,Drama,1992,Clint Eastwood,R,Yes,,Plex
Untouchables,VHS,1987,Brian De Palma,R,Yes,,Plex
Vacancy,Horror/Suspense,2007,Nimród Antal,R,Yes,,Plex
"Vampire, The",Horror/Suspense,1957,Paul Landres,UR,,,Plex
"Village, The",Horror/Suspense,2004,M. Night Shyamalan,PG-13,,,Plex
Waiting For Guffman,Comedy,1996,Christopher Guest,R,Yes,,Plex
Waking Ned Devine,Comedy,1998,Kirk Jones,PG,,,Plex
"War of the Worlds, The",Horror/Suspense,1953,Byron Haskin,G,,,
Watchmen,Action/Adventure,2009,Zack Snyder,R,Yes,,Plex
Wayne's World,Comedy,1992,Penelope Spheeris,PG-13,,,Plex
We Bought a Zoo,Family,2011,Cameron Crowe,PG,,,Plex
"Wedding Planner, The",Comedy,2001,Adam Shankman,PG-13,,,Plex
Weekend at Bernie's,Comedy,1989,Ted Kotchef,PG-13,,,Plex
Werewolf of London,Horror/Suspense,1935,Stuart Armstrong Walker,UR,,,Plex
What a Girl Wants,Family,2003,Dennie Gordon,PG,,,Plex
What's the Matter With Helen?,Horror/Suspense,1971,Curtis Harrington,R?,,,Plex
Whoever Slew Auntie Roo?,Horror/Suspense,1972,Curtis Harrington,PG-13,,,Plex
Willy Wonka and the Chocolate Factory,Family,1971,Mel Stuart,G,,,Plex
Wings (Season 1 & 2),Television,1990-1991,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 3),Television,1991-1992,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 4),Television,1992-1993,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 5),Television,1993-1994,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 6),Television,1994-1995,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 7),Television,1995-1996,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 8),Television,1996-1997,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
"Wolf Man, The",Horror/Suspense,1941,George Waggner,UR,,,Plex
Wonder,Family,2017,Stephen Chbosky,PG,,,Plex
Wreck-It Ralph,Family,2012,Rich Moore,PG,,,YouTube Movies
X-Men,Action/Adventure,2000,Bryan Singer,PG-13,,,Plex
X-Men: The Last Stand,Action/Adventure,2006,Brett Ratner ,PG-13,,,Plex
X2,Action/Adventure,2003,Bryan Singer,PG-13,,,Plex
Young & Innocent,Horror/Suspense,1937,Alfred Hitchcock,UR,,,Plex
Young Guns,Action/Adventure,1988,Christopher Cain,R,Yes,,Plex
Zombieland,Horror/Suspense,2009,Ruben Fleischer,R,Yes,,Plex
Zootopia,Family,2016,"Byron Howard, Rich Moore",PG,,,Plex
